City,Population,Violent,Murder and,Rape,Rape,Robbery,Aggravated,Property,Burglary,Larceny-,Motor,Arson,,,,,
,,crime,nonnegligent,(revised,(legacy,,assault,crime,,theft,vehicle,,,,,,
,,,manslaughter,definition1),definition2),,,,,,theft,,,,,Lat,Long
Crystal Lake,"40,374",44,0,8,,4,32,624,56,561,7,3,"Crystal Lake, IL",42.2411344,#ERROR!,,
Danville,"31,931",502,0,47,,88,367,"1,894",646,"1,185",63,7,"Danville, IL",37.8215929,#ERROR!,,
Darien,"22,285",6,0,3,,2,1,366,47,309,10,1,"Darien, IL",41.0771914,#ERROR!,,
Davis,635,0,0,0,,0,0,0,0,0,0,0,"Davis, IL",40.9628845,-112.0953297,,
Decatur,"72,694",392,3,45,,97,247,"2,657",859,"1,700",98,16,"Decatur, IL",#ERROR!,-84.2963123,,
Deer Creek,678,1,0,0,,1,0,6,1,5,0,0,"Deer Creek, IL",35.682657,#ERROR!,,
Deerfield,"19,176",5,0,1,,1,3,123,17,103,3,0,"Deerfield, IL",#ERROR!,#ERROR!,,
De Kalb,"43,034",223,3,53,,34,133,"1,438",203,"1,203",32,8,"De Kalb, IL",33.5087256,-94.616319,,
Delavan,"1,622",5,0,0,,0,5,50,9,34,7,2,"Delavan, IL",#ERROR!,-88.6437138,,
De Pue,"1,726",0,0,0,,0,0,20,4,16,0,0,"De Pue, IL",41.3242061,-89.3074244,,
De Soto,"1,571",10,0,0,,0,10,21,4,16,1,1,"De Soto, IL",38.9791709,#ERROR!,,
Des Plaines,"58,726",45,0,6,,11,28,537,91,423,23,6,"Des Plaines, IL",42.0333623,#ERROR!,,
Diamond,"2,480",0,0,0,,0,0,5,0,5,0,0,"Diamond, IL",36.06308,#ERROR!,,
Divernon,"1,153",3,0,0,,2,1,8,3,5,0,0,"Divernon, IL",39.5656082,#ERROR!,,
Dixon,"15,246",20,0,12,,4,4,272,23,243,6,0,"Dixon, IL",#ERROR!,-94.7235349,,
Downers Grove,"49,894",33,0,7,,7,19,651,66,555,30,3,"Downers Grove, IL",41.8089191,#ERROR!,,
Dupo,"3,881",19,1,1,,0,17,95,36,51,8,0,"Dupo, IL",#ERROR!,-90.2103903,,
Du Quoin,"5,919",18,0,0,,2,16,62,17,44,1,0,"Du Quoin, IL",#ERROR!,-89.2361935,,
Dwight,"4,027",7,0,0,,1,6,63,16,46,1,0,"Dwight, IL",41.0944767,#ERROR!,,
Earlville,"1,619",1,0,0,,0,1,30,3,27,0,0,"Earlville, IL",41.5894754,-88.9220265,,
East Alton,"6,152",20,0,9,,3,8,163,32,120,11,0,"East Alton, IL",38.8803256,-90.1112184,,
East Carondelet,467,6,0,1,,1,4,4,3,0,1,0,"East Carondelet, IL",38.5414398,-90.2317323,,
East Dubuque,"1,648",13,0,2,,1,10,24,2,19,3,0,"East Dubuque, IL",42.4922253,-90.6429054,,
East Dundee,"3,273",1,0,0,,1,0,70,15,54,1,0,"East Dundee, IL",42.0989145,-88.2714689,,
East Hazel Crest,"1,545",4,0,0,,2,2,49,32,14,3,1,"East Hazel Crest, IL",41.5754519,-87.6461965,,
East Moline,"21,359",91,0,10,,22,59,571,120,439,12,1,"East Moline, IL",#ERROR!,#ERROR!,,
East Peoria,"23,008",97,2,12,,5,78,625,171,439,15,9,"East Peoria, IL",40.666149,#ERROR!,,
East St. Louis,"26,769",757,27,35,,103,592,604,210,266,128,9,"East St. Louis, IL",38.624514,-90.1506465,,
Edinburg,"1,046",0,0,0,,0,0,4,2,2,0,0,"Edinburg, IL",#ERROR!,-98.1633432,,
Edwardsville,"25,133",33,0,6,,7,20,288,33,248,7,0,"Edwardsville, IL",#ERROR!,-89.953157,,
Effingham,"12,660",33,0,9,,2,22,381,45,330,6,0,"Effingham, IL",39.0621773,#ERROR!,,
Elburn,"5,776",3,0,0,,1,2,30,5,25,0,0,"Elburn, IL",#ERROR!,-88.4723014,,
Eldorado,"4,050",6,0,0,,0,6,147,34,98,15,0,"Eldorado, IL",36.1574897,-95.7610321,,
Elgin,"112,886",236,2,34,,63,137,"1,565",218,"1,279",68,10,"Elgin, IL",42.0354084,#ERROR!,,
Elizabeth,746,1,0,0,,0,1,3,2,1,0,0,"Elizabeth, IL",37.2260629,#ERROR!,,
Elk Grove Village,"33,255",25,0,4,,7,14,510,83,386,41,1,"Elk Grove Village, IL",#ERROR!,#ERROR!,,
Elmhurst,"46,318",26,0,1,,9,16,536,68,452,16,0,"Elmhurst, IL",#ERROR!,-87.9403418,,
Elmwood,"2,088",0,0,0,,0,0,24,9,14,1,0,"Elmwood, IL",#ERROR!,-94.4446785,,
Elmwood Park,"24,829",42,0,3,,12,27,328,62,246,20,1,"Elmwood Park, IL",40.9039878,-74.118476,,
El Paso,"2,796",7,0,3,,0,4,34,3,30,1,0,"El Paso, IL",31.7618778,#ERROR!,,
Energy,"1,144",2,0,0,,0,2,14,6,7,1,0,"Energy, IL",#ERROR!,#ERROR!,,
Erie,"1,543",3,0,2,,0,1,9,2,7,0,0,"Erie, IL",42.1292241,-80.085059,,
Eureka,"5,388",10,1,1,,0,8,55,10,43,2,1,"Eureka, IL",36.3344733,#ERROR!,,
Evanston,"75,716",130,2,6,,38,84,"1,671",329,"1,269",73,10,"Evanston, IL",42.0450722,#ERROR!,,
Evergreen Park,"19,836",41,0,5,,17,19,600,56,519,25,2,"Evergreen Park, IL",#ERROR!,#ERROR!,,
Fairbury,"3,604",8,0,0,,1,7,37,9,28,0,1,"Fairbury, IL",40.1466169,-97.1798456,,
Fairfield,"5,019",21,0,1,,3,17,109,29,78,2,1,"Fairfield, IL",#ERROR!,#ERROR!,,
Fairmont City,"2,478",1,0,0,,0,1,18,7,8,3,0,"Fairmont City, IL",#ERROR!,-90.1030683,,
Fairmount,616,0,0,0,,0,0,1,0,1,0,0,"Fairmount, IL",39.9672371,#ERROR!,,
Fairview Heights,"16,773",41,1,6,,4,30,870,67,779,24,0,"Fairview Heights, IL",38.5889386,-89.990382,,
Farmington,"2,305",3,0,0,,0,3,63,19,44,0,2,"Farmington, IL",36.0420248,-94.2471515,,
Findlay,647,0,0,0,,0,0,7,2,5,0,0,"Findlay, IL",41.04422,-83.6499321,,
Fisher,"1,974",2,0,1,,0,1,35,12,23,0,0,"Fisher, IL",#ERROR!,-94.7269269,,
Fithian,468,0,0,0,,0,0,0,0,0,0,0,"Fithian, IL",40.1139242,-87.8730857,,
Flora,"4,919",4,0,0,,0,4,84,18,63,3,0,"Flora, IL",#ERROR!,-79.836977,,
Flossmoor,"9,479",15,0,2,,6,7,120,22,95,3,1,"Flossmoor, IL",41.5428123,#ERROR!,,
Forest Park,"14,113",46,0,10,,23,13,527,75,418,34,0,"Forest Park, IL",37.141376,-94.5100408,,
Forest View,691,3,0,0,,0,3,41,11,20,10,8,"Forest View, IL",38.906428,-94.863152,,
Fox Lake,"10,495",17,0,3,,1,13,143,28,112,3,0,"Fox Lake, IL",42.3966874,-88.1836965,,
Fox River Grove,"4,665",10,0,1,,1,8,60,4,54,2,1,"Fox River Grove, IL",42.2008575,-88.2145259,,
Frankfort,"18,822",8,0,0,,5,3,185,14,162,9,0,"Frankfort, IL",#ERROR!,-84.8732835,,
Franklin Grove,957,0,0,0,,0,0,9,4,5,0,0,"Franklin Grove, IL",41.8416982,-89.3003765,,
Franklin Park,"18,306",27,0,6,,5,16,211,40,128,43,6,"Franklin Park, IL",39.9623634,#ERROR!,,
Freeburg,"4,218",3,0,0,,0,3,35,6,27,2,0,"Freeburg, IL",38.4275499,-89.913714,,
Freeport,"24,257",48,0,10,,11,27,652,166,471,15,4,"Freeport, IL",26.5333159,-78.6429019,,
Fulton,"3,347",1,0,0,,0,1,64,29,34,1,0,"Fulton, IL",33.8033965,-84.3962535,,
Galena,"3,276",6,0,1,,0,5,40,0,38,2,0,"Galena, IL",#ERROR!,#ERROR!,,
Galesburg,"31,093",124,1,15,,23,85,987,203,765,19,1,"Galesburg, IL",40.9478158,-90.3712395,,
Geneseo,"6,522",8,0,2,,0,6,83,18,63,2,0,"Geneseo, IL",42.795896,-77.816947,,
Geneva,"21,864",11,1,4,,1,5,187,23,160,4,4,"Geneva, IL",#ERROR!,#ERROR!,,
Georgetown,"3,341",9,0,2,,0,7,89,38,50,1,2,"Georgetown, IL",#ERROR!,-77.0722585,,
Germantown,"1,285",1,0,0,,0,1,8,2,5,1,0,"Germantown, IL",35.0867577,-89.8100858,,
Gibson City,"3,408",10,0,2,,0,8,33,11,22,0,3,"Gibson City, IL",#ERROR!,-88.3758875,,
Gifford,"1,117",0,0,0,,0,0,5,0,5,0,0,"Gifford, IL",#ERROR!,-88.0211489,,
Gilberts,"7,792",2,0,0,,0,2,23,7,15,1,0,"Gilberts, IL",38.96726,-94.666832,,
Gillespie,"3,148",10,0,0,,1,9,41,6,35,0,0,"Gillespie, IL",35.602218,#ERROR!,,
Gilman,"1,743",4,0,0,,3,1,99,11,87,1,0,"Gilman, IL",#ERROR!,-117.2333297,,
Girard,"2,012",5,0,2,,0,3,14,1,12,1,0,"Girard, IL",41.1539465,-80.7014662,,
Glasford,"1,000",2,0,0,,0,2,1,1,0,0,0,"Glasford, IL",40.5725386,#ERROR!,,
Glen Carbon,"12,971",6,0,1,,0,5,100,12,87,1,3,"Glen Carbon, IL",#ERROR!,-89.983158,,
Glendale Heights,"34,472",30,0,0,,16,14,571,62,494,15,0,"Glendale Heights, IL",#ERROR!,-88.0717353,,
Glen Ellyn,"28,282",26,1,6,,6,13,244,35,202,7,2,"Glen Ellyn, IL",41.8775293,#ERROR!,,
Glenview,"48,008",41,0,5,,2,34,611,80,503,28,2,"Glenview, IL",42.0778065,#ERROR!,,
Glenwood,"8,996",13,0,0,,7,6,139,27,105,7,0,"Glenwood, IL",#ERROR!,#ERROR!,,
Godley,698,0,0,0,,0,0,5,2,3,0,0,"Godley, IL",32.449029,-97.5266886,,
Golf,505,0,0,0,,0,0,1,0,1,0,0,"Golf, IL",#ERROR!,-95.9179603,,
Goodfield,962,1,0,0,,0,1,56,5,50,1,0,"Goodfield, IL",#ERROR!,-89.2748084,,
Grafton,649,0,0,0,,0,0,10,1,9,0,0,"Grafton, IL",42.2070391,-71.6856236,,
Grandview,"1,424",7,0,0,,3,4,23,7,15,1,0,"Grandview, IL",37.2699699,-95.5500106,,
Granite City,"28,899",191,1,24,,33,133,600,165,367,68,9,"Granite City, IL",#ERROR!,#ERROR!,,
Grantfork,326,0,0,0,,0,0,0,0,0,0,0,"Grantfork, IL",#ERROR!,-89.6656453,,
Grayslake,"20,916",26,0,4,,3,19,342,58,270,14,5,"Grayslake, IL",#ERROR!,-88.041746,,
Grayville,"1,618",5,0,0,,1,4,50,16,31,3,0,"Grayville, IL",#ERROR!,#ERROR!,,
Greenfield,"1,010",3,0,1,,0,2,15,4,11,0,0,"Greenfield, IL",36.7161647,-95.9345728,,
Greenup,"1,491",3,0,0,,0,3,30,10,20,0,0,"Greenup, IL",38.5731349,#ERROR!,,
Greenville,"6,594",6,0,0,,0,6,118,11,102,5,0,"Greenville, IL",#ERROR!,-82.3940104,,
Gurnee,"31,014",23,0,5,,8,10,"1,269",55,"1,183",31,0,"Gurnee, IL",#ERROR!,#ERROR!,,
Hampshire,"6,248",10,0,0,,0,10,34,3,24,7,1,"Hampshire, IL",51.0576948,-1.3080629,,
Hampton,"1,835",0,0,0,,0,0,29,11,18,0,0,"Hampton, IL",#ERROR!,#ERROR!,,
Hanover,808,2,0,0,,1,1,4,0,4,0,1,"Hanover, IL",#ERROR!,9.7320104,,
Hanover Park,"38,402",39,0,4,,14,21,256,39,206,11,0,"Hanover Park, IL",41.9994722,-88.1450735,,
Harrisburg,"8,863",71,0,3,,3,65,178,74,92,12,1,"Harrisburg, IL",40.2731911,#ERROR!,,
Hartford,"1,373",5,0,2,,3,0,16,0,15,1,0,"Hartford, IL",#ERROR!,#ERROR!,,
Harvard,"9,146",8,0,1,,1,6,113,9,103,1,0,"Harvard, IL",42.3770029,#ERROR!,,
Havana,"3,034",25,0,6,,0,19,49,7,42,0,0,"Havana, IL",#ERROR!,-82.3665956,,
Hawthorn Woods,"8,002",1,0,0,,0,1,7,2,5,0,0,"Hawthorn Woods, IL",#ERROR!,-88.0495211,,
Hazel Crest,"14,119",61,3,3,,39,16,488,130,317,41,4,"Hazel Crest, IL",41.571701,-87.6944915,,
Henning,245,0,0,0,,0,0,0,0,0,0,0,"Henning, IL",46.3216278,#ERROR!,,
Henry,"2,301",7,0,0,,1,6,42,9,33,0,0,"Henry, IL",#ERROR!,#ERROR!,,
Herrin,"12,985",39,0,6,,5,28,450,134,292,24,3,"Herrin, IL",#ERROR!,#ERROR!,,
Herscher,"1,547",1,0,0,,0,1,9,1,8,0,0,"Herscher, IL",#ERROR!,#ERROR!,,
Hickory Hills,"14,134",17,0,3,,6,8,138,13,114,11,1,"Hickory Hills, IL",41.7255879,-87.825055,,
Highland Park,"29,737",21,0,7,,4,10,265,22,231,12,0,"Highland Park, IL",#ERROR!,-87.8003437,,
Highwood,"5,337",3,0,0,,1,2,37,2,31,4,0,"Highwood, IL",#ERROR!,-87.8092335,,
Hillsboro,"5,635",14,0,3,,0,11,70,15,49,6,0,"Hillsboro, IL",45.5201438,-122.9898424,,
Hillsdale,509,0,0,0,,0,0,2,0,2,0,0,"Hillsdale, IL",41.9314026,-84.633687,,
