City,Population,Violent,Murder and,Rape,Rape,Robbery,Aggravated,Property,Burglary,Larceny-,Motor,Arson,,,,,
,,crime,nonnegligent,(revised,(legacy,,assault,crime,,theft,vehicle,,,,,,
,,,manslaughter,definition1),definition2),,,,,,theft,,,,,Lat,Long
Tinley Park,"57,213",48,0,6,,11,31,766,86,652,28,2,"Tinley Park, IL",41.5731442,-87.7932939,,
Tolono,"3,483",4,0,1,,0,3,30,9,21,0,0,"Tolono, IL",39.9861415,-88.2589387,,
Toluca,"1,314",0,0,0,,0,0,13,5,8,0,0,"Toluca, IL",19.2826098,-99.6556653,,
Tonica,732,0,0,0,,0,0,7,4,3,0,0,"Tonica, IL",41.2158684,#ERROR!,,
Tower Lakes,"1,251",0,0,0,,0,0,1,0,1,0,0,"Tower Lakes, IL",#ERROR!,-88.1559741,,
Troy,"10,063",15,0,6,,0,9,73,14,58,1,0,"Troy, IL",31.2068421,-97.3027824,,
Tuscola,"4,437",25,0,2,,0,23,72,16,54,2,0,"Tuscola, IL",39.7991985,-88.2831038,,
Urbana,"42,461",162,4,25,,54,79,"1,543",327,"1,185",31,8,"Urbana, IL",#ERROR!,-88.2072697,,
Valmeyer,"1,260",1,0,0,,0,1,8,1,7,0,0,"Valmeyer, IL",#ERROR!,#ERROR!,,
Vernon Hills,"26,574",19,0,4,,7,8,378,20,355,3,1,"Vernon Hills, IL",42.2393323,-87.9653565,,
Vienna,"1,696",0,0,0,,0,0,7,1,5,1,0,"Vienna, IL",#ERROR!,16.3738189,,
Villa Park,"21,976",23,0,2,,7,14,341,34,284,23,0,"Villa Park, IL",#ERROR!,-87.9889543,,
Virden,"3,384",15,0,3,,1,11,90,26,59,5,0,"Virden, IL",#ERROR!,#ERROR!,,
Walnut,"1,338",0,0,0,,0,0,3,0,2,1,0,"Walnut, IL",37.6014373,#ERROR!,,
Warren,"1,366",0,0,0,,0,0,1,0,1,0,0,"Warren, IL",42.5144566,#ERROR!,,
Warrensburg,"1,154",3,0,0,,0,3,7,2,5,0,0,"Warrensburg, IL",#ERROR!,#ERROR!,,
Warrenville,"13,342",11,0,7,,3,1,132,14,113,5,0,"Warrenville, IL",41.817807,#ERROR!,,
Warsaw,"1,541",3,0,0,,1,2,14,3,11,0,1,"Warsaw, IL",#ERROR!,21.0122287,,
Washington,"16,965",14,0,0,,2,12,178,35,141,2,0,"Washington, IL",47.7510741,-120.7401385,,
Waterloo,"10,284",3,0,0,,0,3,34,0,34,0,0,"Waterloo, IL",50.71469,#ERROR!,,
Watseka,"5,027",15,0,4,,2,9,153,27,121,5,0,"Watseka, IL",40.7761465,-87.7364218,,
Waukegan,"88,337",449,1,9,,195,244,"2,287",509,"1,670",108,7,"Waukegan, IL",42.3636331,-87.8447938,,
Waverly,"1,261",1,0,0,,0,1,4,0,4,0,1,"Waverly, IL",42.7272032,-92.4668511,,
Wayne,"2,450",0,0,0,,0,0,12,8,3,1,0,"Wayne, IL",37.0360747,-95.636435,,
Westchester,"16,729",23,0,1,,14,8,257,35,207,15,1,"Westchester, IL",41.1220194,-73.7948516,,
West Chicago,"27,490",34,0,6,,10,18,293,46,233,14,2,"West Chicago, IL",#ERROR!,-88.2039607,,
West City,652,0,0,0,,0,0,85,5,80,0,0,"West City, IL",37.9967935,-88.9323577,,
West Dundee,"7,406",4,0,2,,2,0,103,4,99,0,0,"West Dundee, IL",42.0980812,#ERROR!,,
Western Springs,"13,446",0,0,0,,0,0,35,5,28,2,1,"Western Springs, IL",#ERROR!,#ERROR!,,
West Frankfort,"8,044",5,0,0,,5,0,191,63,110,18,3,"West Frankfort, IL",37.8985966,-88.9233622,,
Westmont,"24,992",22,0,4,,5,13,292,39,243,10,2,"Westmont, IL",#ERROR!,-87.9756175,,
Westville,"3,087",5,0,1,,1,3,31,17,13,1,1,"Westville, IL",35.9883145,#ERROR!,,
Wheaton,"53,848",32,0,5,,11,16,332,54,276,2,1,"Wheaton, IL",#ERROR!,-88.1070127,,
Wheeling,"38,158",47,0,5,,5,37,424,60,348,16,1,"Wheeling, IL",40.0639616,#ERROR!,,
White Hall,"2,389",5,0,1,,0,4,33,15,18,0,0,"White Hall, IL",34.276081,#ERROR!,,
Willowbrook,"8,625",7,0,1,,3,3,163,17,141,5,0,"Willowbrook, IL",41.7697533,-87.9358931,,
Willow Springs,"5,701",3,0,0,,3,0,28,5,20,3,0,"Willow Springs, IL",34.87831,-118.2967447,,
Wilmette,"27,474",11,0,3,,3,5,308,51,246,11,3,"Wilmette, IL",42.0722513,-87.7228384,,
Wilmington,"5,683",13,0,6,,1,6,52,6,38,8,0,"Wilmington, IL",#ERROR!,-77.8868117,,
Winfield,"9,763",3,0,0,,0,3,57,9,48,0,1,"Winfield, IL",41.8616956,#ERROR!,,
Winnebago,"2,995",2,0,0,,0,2,49,2,46,1,0,"Winnebago, IL",43.2543392,-93.6380464,,
Winnetka,"12,526",5,0,0,,0,5,87,10,69,8,0,"Winnetka, IL",#ERROR!,#ERROR!,,
Winthrop Harbor,"6,803",6,0,2,,1,3,37,8,29,0,0,"Winthrop Harbor, IL",#ERROR!,#ERROR!,,
Witt,866,0,0,0,,0,0,4,4,0,0,0,"Witt, IL",39.8855786,-105.112259,,
Wonder Lake,"3,912",5,0,1,,2,2,30,4,24,2,0,"Wonder Lake, IL",42.3852983,-88.3473126,,
Wood Dale,"13,943",6,0,1,,5,0,185,16,161,8,0,"Wood Dale, IL",41.9633625,#ERROR!,,
Woodridge,"33,441",37,0,14,,15,8,446,48,386,12,3,"Woodridge, IL",#ERROR!,-88.0503406,,
Wood River,"10,225",37,0,7,,10,20,371,55,289,27,0,"Wood River, IL",38.861159,-90.0976069,,
Woodstock,"25,259",34,0,6,,8,20,402,29,360,13,3,"Woodstock, IL",#ERROR!,-74.1181971,,
Worth,"10,781",24,0,5,,5,14,114,18,84,12,1,"Worth, IL",29.495652,-98.4670135,,
Yates City,666,0,0,0,,0,0,15,1,14,0,0,"Yates City, IL",#ERROR!,-90.0148371,,
Yorkville,"18,752",13,0,4,,5,4,170,28,131,11,1,"Yorkville, IL",41.6411409,-88.4472948,,
Zeigler,"1,758",2,0,0,,0,2,18,5,12,1,0,"Zeigler, IL",41.8295969,-87.7868628,,
Zion,"24,067",169,2,37,,31,99,607,127,449,31,10,"Zion, IL",37.2982022,-113.0263005,,
