Population,Violent,Murder and,Rape,Rape,Robbery,Aggravated,Property,Burglary,Larceny-,Motor,Arson,,,
,crime,nonnegligent,(revised,(legacy,,assault,crime,,theft,vehicle,,,,
,,manslaughter,definition1),definition2),,,,,,theft,,,,
1571,10,0,0,,0,10,21,4,16,1,1,"De Soto, IL",37.8175505,-89.2278613
58726,45,0,6,,11,28,537,91,423,23,6,"Des Plaines, IL",42.0333623,-87.8833991
2480,0,0,0,,0,0,5,0,5,0,0,"Diamond, IL",41.2886428,-88.2517287
1153,3,0,0,,2,1,8,3,5,0,0,"Divernon, IL",39.5656082,-89.6573192
15246,20,0,12,,4,4,272,23,243,6,0,"Dixon, IL",41.8389213,-89.4795478
49894,33,0,7,,7,19,651,66,555,30,3,"Downers Grove, IL",41.8089191,-88.0111746
3881,19,1,1,,0,17,95,36,51,8,0,"Dupo, IL",38.5161634,-90.2103903
5919,18,0,0,,2,16,62,17,44,1,0,"Du Quoin, IL",38.0114393,-89.2361935
4027,7,0,0,,1,6,63,16,46,1,0,"Dwight, IL",41.0944767,-88.4250597
1619,1,0,0,,0,1,30,3,27,0,0,"Earlville, IL",41.5894754,-88.9220265
6152,20,0,9,,3,8,163,32,120,11,0,"East Alton, IL",38.8803256,-90.1112184
467,6,0,1,,1,4,4,3,0,1,0,"East Carondelet, IL",38.5414398,-90.2317323
1648,13,0,2,,1,10,24,2,19,3,0,"East Dubuque, IL",42.4922253,-90.6429054
3273,1,0,0,,1,0,70,15,54,1,0,"East Dundee, IL",42.0989145,-88.2714689
1545,4,0,0,,2,2,49,32,14,3,1,"East Hazel Crest, IL",41.5754519,-87.6461965
21359,91,0,10,,22,59,571,120,439,12,1,"East Moline, IL",41.5008673,-90.4442979
23008,97,2,12,,5,78,625,171,439,15,9,"East Peoria, IL",40.666149,-89.5800978
26769,757,27,35,,103,592,604,210,266,128,9,"East St. Louis, IL",38.624514,-90.1506465
1046,0,0,0,,0,0,4,2,2,0,0,"Edinburg, IL",39.6572697,-89.3895338
25133,33,0,6,,7,20,288,33,248,7,0,"Edwardsville, IL",38.8114364,-89.953157
12660,33,0,9,,2,22,381,45,330,6,0,"Effingham, IL",39.1200418,-88.5433829
5776,3,0,0,,1,2,30,5,25,0,0,"Elburn, IL",41.8922499,-88.4723014
4050,6,0,0,,0,6,147,34,98,15,0,"Eldorado, IL",37.8136583,-88.4381029
112886,236,2,34,,63,137,1565,218,1279,68,10,"Elgin, IL",42.0354084,-88.2825668
746,1,0,0,,0,1,3,2,1,0,0,"Elizabeth, IL",42.3177911,-90.221517
33255,25,0,4,,7,14,510,83,386,41,1,"Elk Grove Village, IL",42.0039178,-87.9703461
46318,26,0,1,,9,16,536,68,452,16,0,"Elmhurst, IL",41.8994744,-87.9403418
2088,0,0,0,,0,0,24,9,14,1,0,"Elmwood, IL",40.7778151,-89.9665017
24829,42,0,3,,12,27,328,62,246,20,1,"Elmwood Park, IL",41.9211423,-87.8092266
2796,7,0,3,,0,4,34,3,30,1,0,"El Paso, IL",40.7392017,-89.0164626
1144,2,0,0,,0,2,14,6,7,1,0,"Energy, IL",37.7739389,-89.0264634
1543,3,0,2,,0,1,9,2,7,0,0,"Erie, IL",41.6564203,-90.0792859
5388,10,1,1,,0,8,55,10,43,2,1,"Eureka, IL",40.7214251,-89.2728627
75716,130,2,6,,38,84,1671,329,1269,73,10,"Evanston, IL",42.0450722,-87.6876969
19836,41,0,5,,17,19,600,56,519,25,2,"Evergreen Park, IL",41.7205889,-87.7017175
3604,8,0,0,,1,7,37,9,28,0,1,"Fairbury, IL",40.7472566,-88.5147789
5019,21,0,1,,3,17,109,29,78,2,1,"Fairfield, IL",38.378937,-88.3597683
2478,1,0,0,,0,1,18,7,8,3,0,"Fairmont City, IL",38.6514591,-90.1030683
616,0,0,0,,0,0,1,0,1,0,0,"Fairmount, IL",40.0455911,-87.8305838
16773,41,1,6,,4,30,870,67,779,24,0,"Fairview Heights, IL",38.5889386,-89.990382
2305,3,0,0,,0,3,63,19,44,0,2,"Farmington, IL",40.6980932,-90.0059483
647,0,0,0,,0,0,7,2,5,0,0,"Findlay, IL",39.5225372,-88.7536817
1974,2,0,1,,0,1,35,12,23,0,0,"Fisher, IL",40.3147554,-88.3500541
468,0,0,0,,0,0,0,0,0,0,0,"Fithian, IL",40.1139242,-87.8730857
4919,4,0,0,,0,4,84,18,63,3,0,"Flora, IL",38.6689364,-88.4856042
9479,15,0,2,,6,7,120,22,95,3,1,"Flossmoor, IL",41.5428123,-87.6847684
14113,46,0,10,,23,13,527,75,418,34,0,"Forest Park, IL",41.8794758,-87.81367
691,3,0,0,,0,3,41,11,20,10,8,"Forest View, IL",41.8086431,-87.7933895
10495,17,0,3,,1,13,143,28,112,3,0,"Fox Lake, IL",42.3966874,-88.1836965
4665,10,0,1,,1,8,60,4,54,2,1,"Fox River Grove, IL",42.2008575,-88.2145259
18822,8,0,0,,5,3,185,14,162,9,0,"Frankfort, IL",41.4958665,-87.8486613
957,0,0,0,,0,0,9,4,5,0,0,"Franklin Grove, IL",41.8416982,-89.3003765
18306,27,0,6,,5,16,211,40,128,43,6,"Franklin Park, IL",41.9348537,-87.879523
4218,3,0,0,,0,3,35,6,27,2,0,"Freeburg, IL",38.4275499,-89.913714
24257,48,0,10,,11,27,652,166,471,15,4,"Freeport, IL",42.2966861,-89.6212271
3347,1,0,0,,0,1,64,29,34,1,0,"Fulton, IL",41.8672508,-90.1595705
3276,6,0,1,,0,5,40,0,38,2,0,"Galena, IL",42.4166744,-90.4290168
31093,124,1,15,,23,85,987,203,765,19,1,"Galesburg, IL",40.9478158,-90.3712395
6522,8,0,2,,0,6,83,18,63,2,0,"Geneseo, IL",41.4480902,-90.1542848
21864,11,1,4,,1,5,187,23,160,4,4,"Geneva, IL",41.8926437,-88.3287896
3341,9,0,2,,0,7,89,38,50,1,2,"Georgetown, IL",39.9753144,-87.6358546
1285,1,0,0,,0,1,8,2,5,1,0,"Germantown, IL",38.5536601,-89.5384209
3408,10,0,2,,0,8,33,11,22,0,3,"Gibson City, IL",40.4653118,-88.3758875
1117,0,0,0,,0,0,5,0,5,0,0,"Gifford, IL",40.3058679,-88.0211489
7792,2,0,0,,0,2,23,7,15,1,0,"Gilberts, IL",42.1033585,-88.3728605
3148,10,0,0,,1,9,41,6,35,0,0,"Gillespie, IL",39.1297692,-89.8195407
1743,4,0,0,,3,1,99,11,87,1,0,"Gilman, IL",40.7667015,-87.992262
2012,5,0,2,,0,3,14,1,12,1,0,"Girard, IL",39.4464409,-89.7809301
1000,2,0,0,,0,2,1,1,0,0,0,"Glasford, IL",40.5725386,-89.813442
12971,6,0,1,,0,5,100,12,87,1,3,"Glen Carbon, IL",38.7483814,-89.983158
34472,30,0,0,,16,14,571,62,494,15,0,"Glendale Heights, IL",41.9103068,-88.0717353
28282,26,1,6,,6,13,244,35,202,7,2,"Glen Ellyn, IL",41.8775293,-88.0670118
48008,41,0,5,,2,34,611,80,503,28,2,"Glenview, IL",42.0778065,-87.8223368
8996,13,0,0,,7,6,139,27,105,7,0,"Glenwood, IL",41.5425349,-87.6022658
698,0,0,0,,0,0,5,2,3,0,0,"Godley, IL",41.2366987,-88.243672
505,0,0,0,,0,0,1,0,1,0,0,"Golf, IL",42.0593273,-87.7837118
962,1,0,0,,0,1,56,5,50,1,0,"Goodfield, IL",40.6297593,-89.2748084
649,0,0,0,,0,0,10,1,9,0,0,"Grafton, IL",38.9700484,-90.4315046
1424,7,0,0,,3,4,23,7,15,1,0,"Grandview, IL",39.816439,-89.6187102
28899,191,1,24,,33,133,600,165,367,68,9,"Granite City, IL",38.7014389,-90.1487199
326,0,0,0,,0,0,0,0,0,0,0,"Grantfork, IL",38.8300469,-89.6656453
20916,26,0,4,,3,19,342,58,270,14,5,"Grayslake, IL",42.3444664,-88.041746
1618,5,0,0,,1,4,50,16,31,3,0,"Grayville, IL",38.257547,-87.9936436
1010,3,0,1,,0,2,15,4,11,0,0,"Greenfield, IL",39.3436577,-90.2126145
1491,3,0,0,,0,3,30,10,20,0,0,"Greenup, IL",39.2478159,-88.1633719
6594,6,0,0,,0,6,118,11,102,5,0,"Greenville, IL",38.8922687,-89.4131356
31014,23,0,5,,8,10,1269,55,1183,31,0,"Gurnee, IL",42.3702996,-87.9020186
6248,10,0,0,,0,10,34,3,24,7,1,"Hampshire, IL",42.0978027,-88.5303643
1835,0,0,0,,0,0,29,11,18,0,0,"Hampton, IL",41.5558667,-90.4092971
808,2,0,0,,1,1,4,0,4,0,1,"Hanover, IL",42.2564051,-90.2795734
38402,39,0,4,,14,21,256,39,206,11,0,"Hanover Park, IL",41.9994722,-88.1450735
8863,71,0,3,,3,65,178,74,92,12,1,"Harrisburg, IL",37.7383812,-88.540607
1373,5,0,2,,3,0,16,0,15,1,0,"Hartford, IL",38.8333815,-90.09594
9146,8,0,1,,1,6,113,9,103,1,0,"Harvard, IL",42.422241,-88.6137101
3034,25,0,6,,0,19,49,7,42,0,0,"Havana, IL",40.3000428,-90.0609506
8002,1,0,0,,0,1,7,2,5,0,0,"Hawthorn Woods, IL",42.2169686,-88.0495211
14119,61,3,3,,39,16,488,130,317,41,4,"Hazel Crest, IL",41.571701,-87.6944915
245,0,0,0,,0,0,0,0,0,0,0,"Henning, IL",40.3050364,-87.7008567
2301,7,0,0,,1,6,42,9,33,0,0,"Henry, IL",41.1114249,-89.3564776
12985,39,0,6,,5,28,450,134,292,24,3,"Herrin, IL",37.8031056,-89.0275744
1547,1,0,0,,0,1,9,1,8,0,0,"Herscher, IL",41.0491989,-88.0978262
