190,Winnetka,12744,42.1080834,-87.735895,Winnetka_IL,42.1080834,-87.735895
191,Justice,12600,41.7444765,-87.8378337,Justice_IL,41.7444765,-87.8378337
192,Kewanee,12509,41.2455927,-89.9248303,Kewanee_IL,41.2455927,-89.9248303
193,Streator,12500,41.1208668,-88.835352,Streator_IL,41.1208668,-88.835352
194,Rantoul,12371,40.3083672,-88.1558785,Rantoul_IL,40.3083672,-88.1558785
195,Herrin,12352,37.8031056,-89.0275744,Herrin_IL,37.8031056,-89.0275744
196,Effingham,12252,39.1200418,-88.5433829,Effingham_IL,39.1200418,-88.5433829
197,Centralia,12182,38.5285169,-89.1316944,Centralia_IL,38.5285169,-89.1316944
198,Cahokia,12096,38.5708849,-90.1901113,Cahokia_IL,38.5708849,-90.1901113
199,Palos Heights,12068,41.6680885,-87.7964416,Palos Heights_IL,41.6680885,-87.7964416
200,Plano,11847,41.6628076,-88.5370197,Plano_IL,41.6628076,-88.5370197
201,River Forest,11717,41.8939617,-87.8198478,River Forest_IL,41.8939617,-87.8198478
202,Schiller Park,11709,41.9558637,-87.8708965,Schiller Park_IL,41.9558637,-87.8708965
203,Markham,11661,41.5936453,-87.6947699,Markham_IL,41.5936453,-87.6947699
204,Burr Ridge,11192,41.7489203,-87.9183919,Burr Ridge_IL,41.7489203,-87.9183919
205,Summit,11161,41.7880876,-87.810334,Summit_IL,41.7880876,-87.810334
206,Pontiac,11150,40.8808666,-88.6297839,Pontiac_IL,40.8808666,-88.6297839
207,Waterloo,11013,38.3358857,-90.1498341,Waterloo_IL,38.3358857,-90.1498341
208,Columbia,10999,38.4436637,-90.2012239,Columbia_IL,38.4436637,-90.2012239
209,Roscoe,10983,42.4133505,-89.0092741,Roscoe_IL,42.4133505,-89.0092741
210,Fox Lake,10978,42.3966874,-88.1836965,Fox Lake_IL,42.3966874,-88.1836965
211,Worth,10970,41.6897548,-87.7972754,Worth_IL,41.6897548,-87.7972754
212,Troy,10960,38.7292147,-89.8831541,Troy_IL,38.7292147,-89.8831541
213,Campton Hills,10885,41.9582863,-88.4113034,Campton Hills_IL,41.9582863,-88.4113034
214,Crestwood,10826,41.6611444,-87.7525511,Crestwood_IL,41.6611444,-87.7525511
215,Lyons,10817,41.8133651,-87.8181128,Lyons_IL,41.8133651,-87.8181128
216,Barrington,10722,42.1539141,-88.1361888,Barrington_IL,42.1539141,-88.1361888
217,Riverdale,10663,41.6333678,-87.6331021,Riverdale_IL,41.6333678,-87.6331021
218,Gages Lake,10637,42.3588914,-87.9800273,Gages Lake_IL,42.3588914,-87.9800273
219,River Grove,10612,41.9258642,-87.8358943,River Grove_IL,41.9258642,-87.8358943
220,Taylorville,10506,39.548935,-89.294533,Taylorville_IL,39.548935,-89.294533
221,Wood River,10464,38.861159,-90.0976069,Wood River_IL,38.861159,-90.0976069
222,Pingree Grove,10365,42.0686367,-88.4134159,Pingree Grove_IL,42.0686367,-88.4134159
223,Highland,9991,38.7394918,-89.6712008,Highland_IL,38.7394918,-89.6712008
224,Sauk Village,9921,41.4883685,-87.5675414,Sauk Village_IL,41.4883685,-87.5675414
